map,started_timestamp,duration,irl_duration,game_id,avg_elo,num_players,team_0_elo,team_1_elo,replay_enhanced,leaderboard,mirror,patch,raw_match_type,game_type,game_speed,starting_age
hideout,2025-01-18 01:59:21+00:00,0 days 00:49:53.700000,0 days 00:29:21,366018788,1232.5,2,1240.0,1225.0,False,random_map,False,125283,6,random_map,normal,dark
lowland,2025-01-13 22:55:44+00:00,0 days 00:52:25,0 days 00:30:50,365180902,653.5,2,649.0,658.0,False,random_map,False,125283,6,random_map,normal,dark
gold_rush,2025-01-18 13:30:08+00:00,0 days 00:27:03.500000,0 days 00:15:55,366115257,1226.1666666666667,6,1232.0,1220.3333333333333,False,team_random_map,False,125283,8,random_map,normal,dark
arabia,2025-01-15 00:45:59+00:00,0 days 00:37:51.200000,0 days 00:22:16,365395996,734.5,2,704.0,765.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-15 12:33:14+00:00,0 days 00:27:49.400000,0 days 00:16:22,365469845,742.5,2,742.0,743.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-17 20:49:12+00:00,0 days 00:43:49.900000,0 days 00:25:47,365959343,1795.0,2,1795.0,1795.0,False,random_map,False,125283,6,random_map,normal,dark
megarandom,2025-01-18 04:25:30+00:00,0 days 00:46:14.400000,0 days 00:27:12,366043720,1588.0,2,1568.0,1608.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-14 02:37:54+00:00,0 days 00:57:36.100000,0 days 00:33:53,365213384,1001.5,2,975.0,1028.0,False,random_map,False,125283,6,random_map,normal,dark
arena,2025-01-12 03:52:52+00:00,0 days 00:25:38.500000,0 days 00:15:05,364756616,1258.0,2,1222.0,1294.0,False,co_random_map,True,125283,66,random_map,normal,dark
nomad,2025-01-12 20:16:26+00:00,0 days 00:24:57.700000,0 days 00:14:41,364939813,1318.625,8,1343.5,1293.75,False,team_random_map,False,125283,9,random_map,normal,dark
